"","lat","long","gps_precision","lga","zone","state","id","name","sector"
"52",8.95793437957764,6.89648509025574,8,"Abaji","north_central","FCT","215002","Lea Pri Sch Bari-Bari","education"
"53",8.69721293449402,6.7708021402359,4,"Abaji","north_central","FCT","215002","Lea Kpakpata","education"
"54",8.47475051879883,6.96030020713806,2,"Abaji","north_central","FCT","215002","G G S S Abaji","education"
"55",8.48379492759705,6.93459391593933,4,"Abaji","north_central","FCT","215002","Junior Secondary School Abaji","education"
"56",8.48383784294128,6.93603694438934,4,"Abaji","north_central","FCT","215002","Abaji West Primary School","education"
"57",9.0312123298645,6.86176657676697,3,"Abaji","north_central","FCT","215002","Lea Pri. Sch Dagun","education"
"58",8.95195841789246,6.82749330997467,6,"Abaji","north_central","FCT","215002","Lea Pri Sch Rafin Daji","education"
"59",8.51506948471069,6.89635634422302,4,"Abaji","north_central","FCT","215002","Sps Agyana","education"
"60",8.50866436958313,6.85233056545258,4,"Abaji","north_central","FCT","215002","Jss Pandagi Abaji Abuja","education"
"61",9.23877239227295,6.90460681915283,4,"Abaji","north_central","FCT","215002","Lea Pri. Sch. Agwara","education"
"62",8.64241540431976,6.79971098899841,4,"Abaji","north_central","FCT","215002","Science Primary Sch","education"
"63",8.95180821418762,6.81994020938873,3,"Abaji","north_central","FCT","215002","Limpa Nus/Pri Sch","education"
"64",8.52442502975464,6.85753405094147,4,"Abaji","north_central","FCT","215002","Lea Primary School Nanda","education"
"65",8.48329067230225,6.94844484329224,4,"Abaji","north_central","FCT","215002","Regal Nursery And Pry Sch","education"
"66",9.2083078622818,6.84544265270233,6,"Abaji","north_central","FCT","215002","Central Pri. Sch Gawu","education"
"67",8.68074953556061,6.79602563381195,4,"Abaji","north_central","FCT","215002","Lea Primary Sch Lafia Yaba","education"
"68",9.21000838279724,6.84494912624359,4,"Abaji","north_central","FCT","215002","Gss Gawu","education"
"69",8.46947193145752,6.95149183273315,4,"Abaji","north_central","FCT","215002","Baptist Nursery And Prim School","education"
"70",8.55619847774506,6.8425726890564,4,"Abaji","north_central","FCT","215002","Lea Pry Sch Chapu","education"
"71",8.46648931503296,6.96865260601044,4,"Abaji","north_central","FCT","215002","Jss Kekeshi","education"
"72",8.47159087657928,6.95586919784546,4,"Abaji","north_central","FCT","215002","Abaji East Pri. Sch.","education"
"73",8.47910106182098,6.94853067398071,4,"Abaji","north_central","FCT","215002","Constance Ideal Knowledge Mursery And Prim School Abuja","education"
"74",8.4804368019104,6.78950250148773,4,"Abaji","north_central","FCT","215002","Lea Primary Sch Mamagi","education"
"75",8.46528232097626,6.95751070976257,4,"Abaji","north_central","FCT","215002","Mer. Victory N/Pri. Sch.","education"
"76",8.64282310009003,6.79925501346588,4,"Abaji","north_central","FCT","215002","Junior Sec Sch Yaba","education"
"77",8.46808791160583,6.96304678916931,4,"Abaji","north_central","FCT","215002","Protaks Inter Nursery And Prim School","education"
"78",9.21466469764709,6.81885659694672,4,"Abaji","north_central","FCT","215002","Lea Pri Sch Fuka Jamigbe","education"
"79",8.46689164638519,6.96904420852661,4,"Abaji","north_central","FCT","215002","Lea Pri School","education"
"80",8.56202960014343,6.86223328113556,4,"Abaji","north_central","FCT","215002","Lea Prim School Pandagi Gbako","education"
"81",9.22418653964996,6.95143818855286,4,"Abaji","north_central","FCT","215002","Lea Sabon Gurara","education"
"82",8.88185620307922,6.87061250209808,4,"Abaji","north_central","FCT","215002","Lea Prim School Gulidan","education"
"83",8.45816373825073,6.94138526916504,4,"Abaji","north_central","FCT","215002","Jss Naharati","education"
"84",8.47383856773376,6.85301184654236,4,"Abaji","north_central","FCT","215002","Lea Rimba Gwari Pry Sch","education"
"85",8.51494073867798,6.82595908641815,4,"Abaji","north_central","FCT","215002","Wadagi/Mawogi Pri School","education"
"86",6.77646696567535,8.09038460254669,4,"Ado","north_central","BENUE","207058","Lgea Pri Sch Ijigbam","education"
"87",6.9490510225296,8.03570508956909,4,"Ado","north_central","BENUE","207058","Ube Junior Sec. Sch. St.Paul Centre Utonkon","education"
"88",6.64909422397614,7.8569358587265,3,"Ado","north_central","BENUE","207058","Olukpo Agila Lgea Pri. Sch.","education"
"89",6.94059669971466,8.05813908576965,4,"Ado","north_central","BENUE","207058","Lgea Pri Sch Odebo Ukwonyo","education"
"90",6.64344012737274,7.93618440628052,4,"Ado","north_central","BENUE","207058","Lgea Ebo Primary School","education"
"91",6.97192490100861,8.1348717212677,4,"Ado","north_central","BENUE","207058","Saint Mary'S L G E A Prim Sch Ojenyo Centre","education"
"92",6.76571667194366,7.92767643928528,4,"Ado","north_central","BENUE","207058","Lgea Pri Sch","education"
"93",6.90461754798889,8.09367299079895,4,"Ado","north_central","BENUE","207058","L G E A Prim Sch,Ikara","education"
"94",6.83051347732544,8.12979698181152,4,"Ado","north_central","BENUE","207058","Lgea Ugwugwewu Ekile","education"
"95",6.91829144954681,8.09518575668335,3,"Ado","north_central","BENUE","207058","Nursery Prim Sch, Rukor","education"
"96",6.73650205135345,7.94760525226593,4,"Ado","north_central","BENUE","207058","L G E A Apa Ogbozu","education"
"97",6.73799872398376,8.09562027454376,4,"Ado","north_central","BENUE","207058","Lgea Prim. Sch. Onuebor","education"
"98",6.93329572677612,8.08817982673645,4,"Ado","north_central","BENUE","207058","Lgea Primary School Adochi Ojenyo","education"
"99",6.75224661827087,8.06555807590485,4,"Ado","north_central","BENUE","207058","Lgea Pry.Sch. Ebbia Ulayi","education"
"100",6.80469453334808,8.15670490264893,4,"Ado","north_central","BENUE","207058","Lgea Pry.Sch. Onyene","education"
"101",6.94641172885895,8.04670214653015,4,"Ado","north_central","BENUE","207058","Govt. College Utonkon","education"
"102",6.94654047489166,8.04290413856506,4,"Ado","north_central","BENUE","207058","Future Hope Nusery And Prim Sch","education"
"103",6.82380795478821,8.08217704296112,4,"Ado","north_central","BENUE","207058","Lgea Pri. Sch. Anmka Ijigban","education"
"104",6.84604346752167,7.92795538902283,4,"Ado","north_central","BENUE","207058","Lgea Akana","education"
"105",6.60682797431946,7.91129887104034,4,"Ado","north_central","BENUE","207058","Agila Comm.Sec. Sch.","education"
"106",6.73105180263519,8.05894911289215,3,"Ado","north_central","BENUE","207058","Ube Jun. Sec. Sch. Anmeka","education"
"107",6.79269969463348,8.05335402488708,4,"Ado","north_central","BENUE","207058","Lgea Pri. Sch Odumoke Ijigban","education"
"108",6.77904188632965,8.02875816822052,4,"Ado","north_central","BENUE","207058","Gss Ulaye","education"
"109",6.75534188747406,8.04124653339386,4,"Ado","north_central","BENUE","207058","L G E A Prim Sch Umuezeokoha, Ezza-Ulayi 2","education"
"110",6.77291035652161,7.91503250598907,4,"Ado","north_central","BENUE","207058","L G E A Apa 3, New Jerusalem","education"
"111",6.85530245304108,8.04110705852509,4,"Ado","north_central","BENUE","207058","Lgea Pry. Sch. Rijo","education"
"112",6.94417476654053,8.03483605384827,4,"Ado","north_central","BENUE","207058","Westly Central Sch Utonkon","education"
"113",6.96586310863495,8.10315728187561,4,"Ado","north_central","BENUE","207058","Lgea Prim. Sch. Udebo Ojenyo","education"
"114",6.95571899414062,8.04286658763885,4,"Ado","north_central","BENUE","207058","Rich Steve Comprehensive College Utonkon","education"
"115",6.77898287773132,8.1131511926651,4,"Ado","north_central","BENUE","207058","Lgea Pri. Sch. Odrewu Ijigban","education"
"116",6.94599866867065,8.138347864151,4,"Ado","north_central","BENUE","207058","Lgea Primary School Unenyim Igba","education"
